,0,1,2
0,1.0,4.0,2.0
1,2.0,4.0,3.0
2,1.0,4.0,1.0
3,3.0,4.0,6.0
4,3.0,6.0,1.0
5,3.0,2.0,1.0
6,3.0,2.0,10.0
7,3.0,2.0,1.0
8,1.0,2.0,1.0
9,1.0,2.0,4.0
10,3.0,2.0,1.0
11,2.0,6.0,4.0
12,3.0,4.0,3.0
13,1.0,4.0,8.0
14,5.0,4.0,6.0
15,1.0,4.0,5.0
16,1.0,1.0,2.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,1.0,5.0,5.0
22,1.0,5.0,5.0
23,1.0,5.0,5.0
24,1.0,5.0,5.0
25,1.0,4.0,5.0
26,1.0,2.0,2.0
27,1.0,8.0,2.0
28,1.0,2.0,2.0
29,1.0,2.0,2.0
30,1.0,2.0,2.0
31,1.0,2.0,2.0
32,1.0,2.0,2.0
33,1.0,2.0,2.0
34,1.0,2.0,2.0
35,1.0,2.0,2.0
36,1.0,2.0,2.0
37,1.0,2.0,2.0
38,6.0,2.0,2.0
39,6.0,2.0,2.0
40,6.0,2.0,2.0
41,6.0,2.0,2.0
42,2.0,5.0,1.0
43,2.0,5.0,1.0
44,2.0,10.0,4.0
45,2.0,6.0,4.0
46,3.0,2.0,8.0
47,6.0,2.0,1.0
48,2.0,3.0,1.0
49,2.0,3.0,1.0
50,2.0,1.0,1.0
51,2.0,3.0,7.0
52,2.0,1.0,1.0
53,3.0,1.0,1.0
54,3.0,1.0,1.0
55,2.0,1.0,1.0
56,3.0,1.0,1.0
57,3.0,8.0,1.0
58,3.0,8.0,1.0
59,3.0,8.0,5.0
60,1.0,7.0,6.0
61,1.0,4.0,6.0
62,1.0,3.0,6.0
63,1.0,3.0,6.0
64,1.0,7.0,6.0
65,1.0,7.0,2.0
66,1.0,7.0,2.0
67,1.0,7.0,2.0
68,2.0,7.0,1.0
69,2.0,7.0,1.0
70,2.0,1.0,4.0
71,4.0,5.0,2.0
72,2.0,4.0,1.0
73,2.0,1.0,1.0
74,2.0,1.0,1.0
75,6.0,1.0,1.0
76,8.0,1.0,1.0
77,2.0,1.0,1.0
78,6.0,1.0,1.0
79,3.0,4.0,3.0
80,3.0,4.0,2.0
81,3.0,1.0,3.0
82,2.0,1.0,2.0
83,2.0,1.0,2.0
84,2.0,1.0,2.0
85,2.0,4.0,2.0
86,2.0,4.0,7.0
87,2.0,4.0,2.0
88,2.0,1.0,2.0
89,3.0,1.0,2.0
90,3.0,1.0,2.0
91,3.0,1.0,2.0
92,4.0,1.0,2.0
93,4.0,7.0,1.0
94,3.0,4.0,2.0
95,1.0,2.0,1.0
96,1.0,1.0,1.0
97,2.0,1.0,1.0
98,6.0,1.0,1.0
99,3.0,1.0,1.0
100,3.0,1.0,1.0
101,3.0,1.0,1.0
102,4.0,1.0,1.0
103,4.0,2.0,2.0
104,4.0,4.0,2.0
105,2.0,2.0,2.0
106,2.0,1.0,6.0
107,2.0,6.0,2.0
108,2.0,6.0,2.0
109,2.0,6.0,2.0
110,8.0,4.0,2.0
111,10.0,5.0,2.0
112,1.0,4.0,6.0
113,1.0,4.0,2.0
114,1.0,4.0,7.0
115,1.0,6.0,1.0
116,1.0,2.0,1.0
117,1.0,2.0,1.0
118,1.0,1.0,1.0
119,1.0,2.0,1.0
