,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,-0.848155,-0.261406,-0.344365,-0.0741538,-0.295166,-0.290401
1,-0.69812,-0.193064,-0.583738,-0.451972,-0.570723,-0.523764
2,-0.740265,-0.156998,-0.428884,-0.404526,-0.242219,-0.681751
3,-0.772562,-0.204182,-0.486311,-0.425811,-0.294713,-0.700336
4,-0.560951,-0.310637,0.076117,-0.558516,-0.0952771,-0.675622
5,-0.711628,-0.303577,-0.168934,-0.772762,0.088064,-0.911946
6,-0.703991,0.00168173,-0.531211,-0.439158,-0.296768,-0.674439
7,-0.717795,-0.118751,-0.510523,-0.358225,-0.267321,-0.621748
8,-0.713285,-0.165258,-0.371077,-0.554192,-0.359481,-0.583059
9,-0.639825,-0.286629,-0.817378,-0.101866,-0.735288,-0.310053
10,-0.655046,-0.165199,-0.174613,-0.764565,-0.0812119,-1.00821
11,-0.737752,-0.0939358,-0.104294,-0.612613,0.0800096,-0.718558
12,-0.602665,-0.288349,-0.0172306,-0.670751,-0.0216993,-0.682551
13,-0.800975,-0.116068,0.122567,-0.487397,0.317232,-0.578179
14,-0.561801,-0.15538,-0.811631,-0.512144,-0.573579,-0.558789
15,-0.438079,-0.0556033,-0.624028,-0.260042,-0.648256,-0.354317
16,-0.460242,-0.13408,-0.683272,-0.427581,-0.582703,-0.613772
17,-0.563234,-0.185329,-0.80736,-0.463493,-0.635228,-0.625637
18,-0.568077,-0.211957,-0.879066,-0.245997,-0.62764,-0.537574
19,-0.577905,-0.138498,-0.790319,-0.307704,-0.647615,-0.526994
20,-0.694965,-0.103014,0.304413,-0.331789,0.172496,-0.21995
21,-0.582066,-0.0572657,-0.199361,-0.613557,-0.209284,-0.489871
22,-0.567482,-0.271671,-0.217597,-0.590237,-0.116503,-0.786276
23,-0.572624,0.00768787,-0.405493,-0.586237,-0.149234,-0.653653
24,-0.644545,-0.104266,-0.026805,-0.450364,-0.204103,-0.372638
25,-0.67283,-0.155068,-0.348406,-0.524003,-0.455141,-0.560209
26,-0.641631,-0.208749,-0.301991,-0.417735,-0.20654,-0.413166
27,-0.510532,-0.221623,-0.0632237,-0.789093,-0.00811963,-0.792821
28,-0.590254,-0.314312,0.010145,-0.527544,-0.079102,-0.573612
29,-0.726283,-0.218822,-0.19081,-0.608197,-0.137227,-0.668179
30,-0.648745,-0.180053,-0.237678,-0.534718,-0.449388,-0.509956
31,-0.657363,0.0289786,-0.698606,-0.477263,-0.482684,-0.66374
32,-0.575598,0.0086698,-0.478361,-0.517608,-0.346891,-0.59419
33,-0.672851,-0.346844,-0.435236,-0.5301,-0.331426,-0.680286
34,-0.751522,-0.240188,-0.163255,-0.311354,-0.050448,-0.413805
35,-0.681232,-0.271021,-0.0172375,-0.598173,-0.311193,-0.411664
36,-0.650607,-0.126711,-0.463866,-0.317104,-0.209126,-0.442517
37,-0.393606,-0.220664,-0.178206,-0.752816,-0.00631263,-0.855369
38,-0.562197,-0.183674,-0.172221,-0.435672,-0.218487,-0.355408
39,-0.521426,-0.0874081,-0.0723363,-0.341871,-0.266853,-0.340987
40,-0.755273,-0.268248,-0.323341,-0.405346,-0.291851,-0.4201
41,-0.379802,-0.370864,-0.434706,-0.39547,-0.386797,-0.796541
42,-0.404323,-0.25636,-0.155525,-0.382093,-0.153416,-0.671488
43,-0.570357,-0.165551,-0.0281867,-0.38479,-0.0616506,-0.60701
44,-0.516456,-0.196841,-0.1409,-0.442305,-0.22224,-0.595357
45,-0.382965,-0.237206,-0.106303,-0.543276,-0.291858,-0.399971
46,-0.407377,-0.2263,-0.121534,-0.518143,-0.409413,-0.437625
47,-0.48505,-0.134007,-0.109525,-0.433337,0.156218,-0.675835
48,-0.462157,-0.0495002,-0.193082,-0.504469,-0.159819,-0.608463
49,-0.341198,-0.164887,0.297595,-0.937279,0.35721,-0.982395
50,-0.458098,-0.186857,0.105938,-0.6109,0.127911,-0.963114
51,-0.596328,-0.228448,-0.132147,-0.52546,-0.246882,-0.407358
52,-0.577946,-0.172478,-0.398945,-0.563697,-0.22301,-0.694623
53,-0.595759,-0.337276,-0.309299,-0.466544,-0.417935,-0.376381
54,-0.725951,-0.203203,0.117572,-0.722094,0.0684274,-0.833629
55,-0.460924,-0.253103,-0.0931951,-0.677152,-0.0960655,-0.709406
56,-0.364208,-0.295056,-0.241852,-0.645595,-0.0697182,-0.941533
57,-0.407054,-0.216781,-0.201719,-0.538883,-0.151628,-0.768671
58,-0.436413,-0.249438,-0.200714,-0.603383,-0.236183,-0.73578
59,-0.521122,-0.216004,-0.221069,-0.683855,-0.102425,-0.889501
60,-0.30912,-0.304119,-0.14339,-0.610174,-0.230581,-0.610527
61,-0.685765,-0.0587233,-0.0177246,-0.782316,0.142139,-1.04882
62,-0.688161,-0.0996212,-0.109316,-0.76189,0.163591,-1.01584
63,-0.708204,-0.251609,-0.281278,-0.400786,-0.0327044,-0.67759
64,-0.686474,-0.230039,-0.650107,-0.613795,-0.762356,-0.563394
65,-0.642742,-0.267241,-0.302773,-0.190235,-0.0568386,-0.41157
66,-0.58869,-0.149791,-0.145963,-0.32793,0.0914301,-0.628124
67,-0.658733,-0.224243,0.0239557,-0.386617,0.182485,-0.599137
68,-0.549494,-0.188805,0.331288,-0.634879,0.237016,-0.668855
69,-0.634707,-0.243401,0.162427,-0.546171,0.0836782,-0.527433
70,-0.536117,-0.29939,0.251193,-0.396689,0.191315,-0.553794
71,-0.543051,-0.229601,-0.648325,-0.509451,-0.358983,-0.497751
72,-0.661657,-0.221962,-0.648244,-0.35059,-0.309395,-0.463121
73,-0.678487,-0.0906874,-0.255312,-0.642474,-0.18387,-0.716682
74,-0.684116,-0.103876,-0.400386,-0.447146,-0.0122095,-0.711622
75,-0.69885,-0.140989,-0.231498,-0.558396,-0.0677469,-0.667683
76,-0.626476,-0.176769,-0.166495,-0.295908,-0.458206,-0.449293
77,-0.597705,-0.239721,-0.367558,-0.460057,-0.303956,-0.406816
78,-0.551554,-0.133977,-0.765439,-0.0814362,-0.641033,-0.294698
79,-0.467755,-0.0752723,-0.858985,-0.179286,-0.833956,-0.114137
80,-0.619994,-0.0442438,-0.967789,-0.271293,-0.878507,-0.365762
81,-0.491878,-0.326399,-0.471336,-0.350991,-0.507707,-0.365762
82,-0.700356,-0.110445,-0.187578,-0.512909,0.105136,-0.684361
83,-0.851477,-0.162991,-0.433924,-0.51529,-0.384933,-0.582996
84,-0.608533,-0.306598,-0.763625,-0.349508,-0.652927,-0.650563
85,-0.534996,-0.0764874,-0.366956,-0.760968,-0.563128,-0.763488
86,-0.555014,-0.210688,-0.469841,-0.412714,-0.519471,-0.331349
87,-0.460526,-0.0748355,-0.356442,-0.675813,-0.38702,-0.378465
88,-0.424151,-0.0581091,0.00453637,-0.690603,0.198383,-0.667139
89,-0.579833,-0.245926,-0.395079,-0.413881,-0.308654,-0.770675
90,-0.561752,-0.232234,-0.412906,-0.351523,-0.268948,-0.718494
91,-0.54664,-0.249954,-0.117961,-0.37962,-0.165114,-0.264302
92,-0.829965,-0.276507,-0.334423,-0.699944,-0.13654,-1.00412
93,-0.818548,-0.211633,-0.0753902,-0.732455,-0.0164455,-0.925296
94,-0.810453,-0.178787,-0.337132,-0.589068,-0.185141,-0.651584
95,-0.856237,-0.352112,-0.0258074,-0.335508,0.0942488,-0.528736
96,-0.794801,-0.229402,-0.14989,-0.553865,-0.154951,-0.495374
97,-0.509921,-0.202365,-0.652875,-0.319174,-0.641167,-0.513272
98,-0.654456,-0.149164,-0.379454,-0.639726,-0.261867,-0.682071
99,-0.65761,-0.174091,-0.51954,-0.510504,-0.440678,-0.656711
100,-0.711984,-0.127804,-0.156202,-0.475719,-0.171343,-0.648874
101,-0.73884,-0.282287,-0.232191,-0.379402,-0.105328,-0.557673
102,-0.668077,-0.29275,0.0558461,-0.554643,0.135636,-0.815204
103,-0.665049,-0.248626,-0.00428958,-0.557597,0.0580151,-0.675074
104,-0.53433,-0.186902,-0.401343,-0.45438,-0.562451,-0.360251
105,-0.800442,-0.10869,-0.49146,-0.434569,-0.313564,-0.564981
106,-0.810328,-0.204075,-0.230655,-0.605933,-0.0675192,-0.743722
107,-0.637639,-0.152322,-0.0818075,-0.630883,-0.183374,-0.660625
108,-0.623376,-0.13305,-0.0976828,-0.577075,-0.113569,-0.673152
109,-0.607363,-0.176133,-0.805224,-0.566735,-0.527216,-0.691027
110,-0.651838,-0.251788,-0.289548,-0.50254,-0.546198,-0.504571
111,-0.837088,-0.138134,-0.425945,-0.299912,-0.312024,-0.386933
112,-0.612998,-0.217568,-0.531839,-0.667764,-0.394883,-0.767203
113,-0.691795,-0.22088,0.0231624,-0.412216,0.0734982,-0.677033
114,-0.956974,-0.169488,-0.203332,-0.327941,-0.0279375,-0.526836
115,-0.575832,-0.198127,-0.481826,-0.577592,-0.460692,-0.634548
116,-0.463356,-0.181525,-0.521721,-0.645184,-0.386807,-0.788806
117,-0.402779,-0.165207,-0.315866,-0.645496,-0.166481,-0.715434
118,-0.74318,-0.217197,-0.349654,-0.329825,-0.228815,-0.473223
119,-0.812058,-0.324629,-0.00834054,-0.47616,-0.208298,-0.418923
120,-0.510447,-0.300752,0.0747955,-0.549483,0.0742083,-0.802935
121,-0.497676,-0.341088,-0.332792,-0.536448,-0.224973,-0.509887
122,-0.655462,-0.0781362,-0.209752,-0.493002,-0.00938978,-0.905299
123,-0.631302,-0.0944016,-0.248988,-0.522269,-0.279572,-0.502869
124,-0.819035,-0.144863,-0.528284,-0.407471,-0.323914,-0.635554
125,-0.640886,-0.184534,-0.131542,-0.429523,-0.262591,-0.328657
126,-0.723272,-0.179653,-0.633159,-0.340545,-0.448125,-0.490261
127,-0.662079,-0.141492,-0.424641,-0.426782,-0.395426,-0.461622
128,-0.710149,-0.200358,-0.740785,-0.425193,-0.643033,-0.624995
129,-0.599266,-0.171609,-0.355217,-0.461684,-0.294161,-0.503003
130,-0.788453,-0.13201,-0.391294,-0.424644,-0.450871,-0.412347
131,-0.717763,-0.238343,-0.389821,-0.405617,-0.394977,-0.51722
132,-0.698763,-0.142696,-0.597095,-0.181453,-0.416918,-0.297344
133,-0.719656,-0.135259,-0.680811,-0.376137,-0.577715,-0.447035
134,-0.681784,-0.276648,-0.136255,-0.399504,0.0378329,-0.646979
135,-0.572955,-0.140432,-0.447765,-0.410841,-0.183253,-0.562823
136,-0.651548,-0.112582,-0.242208,-0.48593,-0.353112,-0.398311
137,-0.647919,-0.133167,-0.52467,-0.170979,-0.185559,-0.325517
138,-0.445162,-0.295709,0.106972,-0.561904,0.0644306,-0.634834
139,-0.49595,-0.337999,0.214446,-0.503716,0.228589,-0.691588
140,-0.426474,-0.266842,0.0516624,-0.641155,0.119588,-0.861657
141,-0.596162,-0.293007,-0.230134,-0.275322,-0.263829,-0.384011
142,-0.615947,-0.303635,-0.175911,-0.351606,-0.161097,-0.475392
143,-0.637032,-0.393447,-0.205789,-0.40087,-0.227308,-0.540606
144,-0.66024,-0.340035,-0.370403,-0.383827,-0.330481,-0.561956
145,-0.714345,-0.214535,-0.163111,-0.577689,-0.189467,-0.496359
146,-0.633278,-0.237138,-0.18492,-0.410687,-0.235957,-0.45368
147,-0.519108,-0.0575094,-0.421075,-0.664439,-0.430904,-0.841877
148,-0.442941,-0.291809,0.388548,-0.553326,0.347343,-0.567803
149,-0.371729,-0.25577,0.116458,-0.634936,0.0151269,-0.582008
150,-0.453545,-0.214954,-0.36338,-0.604997,-0.0747609,-0.975141
151,-0.410566,-0.359337,-0.294559,-0.455424,-0.39592,-0.430861
152,-0.509355,-0.403894,-0.345198,-0.495903,-0.377277,-0.492084
153,-0.800714,-0.201452,0.00516812,-0.365367,0.144669,-0.469903
154,-0.670342,-0.162636,-0.446491,-0.222354,-0.298531,-0.665515
155,-0.756029,-0.114892,-1.05733,-0.429335,-0.989029,-0.349538
156,-0.834902,-0.0663867,-0.687708,-0.323178,-0.598305,-0.31815
157,-0.738171,-0.0771672,-0.668771,-0.253041,-0.318533,-0.339328
158,-0.714925,-0.31027,-0.085972,-0.693706,-0.520257,-0.766043
159,-0.543349,-0.183637,-0.158704,-0.558744,0.165877,-0.7346
160,-0.627064,-0.240632,-0.560844,-0.682323,-0.537492,-0.621852
161,-0.55422,-0.104301,-0.465882,-0.243002,0.00109772,-0.417716
162,-0.588385,0.00663965,-0.514145,-0.437369,-0.269179,-0.471381
163,-0.642049,-0.0455727,-0.259547,-0.383259,0.0969037,-0.669986
164,-0.394385,0.0425623,-0.58569,-0.516037,-0.52659,-0.190722
165,-0.86593,-0.229562,-0.158895,-0.420083,-0.0880499,-0.537017
166,-0.655928,-0.0759841,-0.330198,-0.417484,-0.200552,-0.540504
167,-0.833307,-0.303164,-0.333457,-0.541631,-0.390784,-0.673231
168,-0.592852,-0.149893,-0.710825,-0.439813,-0.46123,-0.604357
169,-0.880912,-0.00832026,-0.303306,-0.339372,-0.198908,-0.351541
170,-0.796199,-0.041714,-0.153953,-0.260115,-0.0960821,-0.314005
171,-0.789547,-0.097994,-0.462467,-0.462353,-0.331085,-0.597258
172,-0.678329,-0.209669,-0.0274219,-0.687594,-0.119579,-0.659257
173,-0.659693,-0.250619,-0.119716,-0.668658,-0.360013,-0.567424
174,-0.674557,-0.0983789,-0.809051,-0.132143,-0.223081,-0.408871
175,-0.623929,-0.173984,-0.496293,-0.280883,-0.549434,-0.433941
176,-0.563024,-0.160388,-0.585532,-0.187982,-0.20597,-0.391357
177,-0.55666,-0.270549,-0.449779,-0.485728,-0.533813,-0.392673
178,-0.549126,-0.248853,-0.449143,-0.462874,-0.436803,-0.52241
179,-0.644389,-0.182497,-0.719307,-0.413401,-0.538498,-0.5265
180,-0.535444,-0.218017,-0.195986,-0.377538,-0.332734,-0.564873
181,-0.556844,-0.291284,-0.592327,-0.228082,-0.399743,-0.42599
182,-0.572753,-0.168752,-0.455286,-0.336545,-0.282032,-0.393075
183,-0.424213,-0.116926,-0.757073,-0.294824,-0.60297,-0.40369
184,-0.497937,-0.00934206,-0.920256,-0.158287,-0.767209,-0.128807
185,-0.52721,-0.00427409,-0.963253,-0.328095,-0.892451,-0.350884
186,-0.516459,-0.270797,-0.358,-0.463691,-0.320065,-0.550681
187,-0.760979,-0.155697,-0.671616,-0.521499,-0.641142,-0.655177
188,-0.379569,-0.287709,0.110081,-0.491423,0.123478,-0.651839
189,-0.569975,-0.255692,-0.477436,-0.561508,-0.555846,-0.578072
190,-0.2461,-0.112726,-0.109533,-0.798091,0.00700127,-1.01072
191,-0.515877,-0.206418,-0.320908,-0.726267,-0.213473,-0.824815
192,-0.476252,-0.292417,-0.129902,-0.655113,-0.106489,-0.803779
193,-0.518097,-0.288223,0.13544,-0.711383,0.0190508,-0.665459
194,-0.73024,-0.231312,-0.0381302,-0.666991,0.165423,-0.84579
195,-0.653635,-0.213721,-0.108379,-0.430298,-0.147627,-0.428085
196,-0.421587,-0.0236257,0.116656,-0.626763,0.283282,-0.697814
197,-0.559931,-0.0791891,-0.148085,-0.622246,0.0806676,-0.694375
198,-0.763917,-0.185502,-0.485094,-0.387771,-0.43592,-0.476061
199,-0.656422,-0.259776,-0.521681,-0.369258,-0.346901,-0.479463
200,-0.628291,-0.272627,-0.512139,-0.418808,-0.302354,-0.456307
201,-0.605706,-0.156242,-0.216397,-0.369264,-0.369819,-0.238177
202,-0.763869,-0.280313,-0.614318,-0.350373,-0.774098,-0.523901
203,-0.632309,-0.0840369,-0.575762,-0.181232,-0.327638,-0.278121
204,-0.755721,-0.226063,-0.22956,-0.342537,-0.401945,-0.465416
205,-0.527949,-0.0400885,-0.746335,-0.303879,-0.791984,-0.235423
206,-0.780493,-0.129737,-0.400535,-0.453704,-0.197351,-0.755234
207,-0.634615,-0.255504,-0.638724,-0.606879,-0.38786,-0.921303
208,-0.905794,-0.332805,0.293873,-0.450556,0.23958,-0.409277
209,-0.554868,-0.0642783,-0.508432,-0.60921,-0.619518,-0.621198
210,-0.712251,-0.0771579,0.0501115,-0.591492,0.309433,-0.593404
211,-0.638869,-0.110631,-0.247971,-0.569285,-0.335169,-0.700456
212,-0.664657,-0.120822,-0.279881,-0.646059,-0.373445,-0.632645
213,-0.576983,-0.116951,-0.14857,-0.677702,-0.190664,-0.731142
214,-0.59717,-0.120864,-0.424922,-0.521081,-0.337437,-0.626069
215,-0.661271,-0.378777,-0.635211,-0.225041,-0.692147,-0.453898
216,-0.648555,-0.288518,-0.733219,-0.53099,-0.764234,-0.564589
217,-0.78794,-0.274461,-0.364426,-0.419163,-0.27494,-0.627146
218,-0.966383,-0.22244,-0.376363,-0.0156074,-0.238186,-0.0823226
219,-0.729962,0.00847595,-0.831755,-0.440691,-0.631108,-0.58442
220,-0.789946,-0.158416,-0.226347,-0.44664,-0.302818,-0.53066
221,-0.767559,-0.197141,-0.526097,-0.392051,-0.42584,-0.448453
222,-0.676388,-0.161121,-0.366935,-0.381378,-0.0603332,-0.401158
223,-0.68511,-0.267475,-0.339398,-0.456189,-0.215406,-0.547585
224,-0.636729,-0.20129,-0.528132,-0.592675,-0.450357,-0.504064
225,-0.70168,-0.189197,-0.109951,-0.634314,0.229036,-0.770748
226,-0.737502,-0.136285,-0.152641,-0.632244,0.0033674,-0.735083
227,-0.66777,-0.113395,-0.532724,-0.292967,-0.356627,-0.392125
228,-0.709169,-0.295825,-0.208472,-0.332076,-0.323299,-0.332025
229,-0.721616,-0.25222,-0.0964698,-0.442169,0.0213937,-0.698475
230,-0.742855,-0.22707,-0.00234142,-0.608361,0.207038,-0.847103
231,-0.771026,-0.281732,-0.306788,-0.536192,-0.18422,-0.518971
232,-0.809756,-0.306136,-0.459221,-0.35508,-0.287286,-0.521397
233,-0.751882,-0.0973857,-0.266647,-0.371442,-0.195255,-0.428998
234,-0.774797,-0.188125,-0.115773,-0.575747,-0.141356,-0.699545
235,-0.767417,-0.258571,0.0843822,-0.637477,-0.00502898,-0.918149
236,-0.628526,-0.144966,-0.18895,-0.584155,-0.382127,-0.47624
237,-0.667396,-0.218477,0.143954,-0.591531,0.05433,-0.745899
238,-0.614339,-0.354236,-0.180058,-0.667269,-0.00383805,-1.0379
239,-0.603066,-0.220573,-0.505618,-0.353231,-0.425767,-0.522906
240,-0.645946,-0.195781,-0.315015,-0.502861,-0.261547,-0.727288
241,-0.577567,-0.18291,-0.494396,-0.373834,-0.506217,-0.268053
242,-0.633012,-0.17789,-0.356004,-0.419064,-0.649062,-0.354663
243,-0.647603,-0.202683,-0.103566,-0.45027,-0.0568306,-0.648076
244,-0.746139,-0.0480608,-0.478397,-0.682042,-0.146778,-0.740181
245,-0.692133,-0.125699,-0.313257,-0.33348,-0.163001,-0.361615
246,-0.729521,0.0148511,-0.624744,-0.499611,-0.390305,-0.388814
247,-0.737573,-0.163823,-0.270075,-0.427757,-0.0373796,-0.507752
248,-0.917523,-0.232492,-0.0336414,-0.437115,0.0374179,-0.442318
249,-0.562527,-0.270363,-0.291054,-0.651768,-0.36912,-0.609499
250,-0.680998,-0.0769521,-0.306025,-0.51939,-0.22467,-0.591546
251,-0.787143,-0.18082,-0.196612,-0.530069,-0.188588,-0.570423
252,-0.822043,-0.327936,-0.0185103,-0.551778,0.15517,-0.643735
253,-0.56631,0.0207169,-0.434561,-0.642307,-0.382028,-0.514666
254,-0.670966,-0.0678949,-0.904478,-0.390859,-0.65987,-0.49592
255,-0.721941,-0.171462,-0.367679,-0.25006,-0.326925,-0.347176
256,-0.598373,-0.116171,-0.74441,-0.44312,-0.541369,-0.325206
257,-0.642539,-0.194717,-0.238996,-0.179762,-0.259521,-0.173631
258,-0.743896,-0.188129,-0.18138,-0.528581,-0.15949,-0.401101
259,-0.768326,-0.067013,-0.139161,-0.508848,-0.0834333,-0.618899
260,-0.783409,-0.299854,-0.437063,-0.62903,-0.510828,-0.673858
261,-0.54291,-0.0219862,0.0118943,-0.626824,0.357712,-0.69005
262,-0.496578,-0.222003,0.021739,-0.584241,-0.143434,-0.712577
263,-0.453396,-0.267497,0.00930163,-0.763401,0.347778,-0.769018
264,-0.4262,-0.160685,0.141235,-0.8409,0.274763,-1.0695
265,-0.642773,-0.263907,0.26178,-0.673159,0.202094,-0.805155
266,-0.72646,-0.221532,-0.154218,-0.570259,-0.0704704,-0.736094
267,-0.715726,-0.317204,0.174311,-0.609502,0.261059,-0.750013
268,-0.690742,-0.137407,0.0255182,-0.371114,0.0422393,-0.577431
269,-0.654823,-0.110195,-7.25971e-05,-0.513427,0.0397038,-0.564852
270,-0.664753,-0.231575,-0.456041,-0.613314,-0.301654,-0.761774
271,-0.701917,-0.210188,-0.172945,-0.593505,-0.373616,-0.715116
272,-0.79831,-0.148253,-0.00673437,-0.56502,0.227809,-0.713541
273,-0.787134,-0.146058,0.0250072,-0.613357,0.186437,-0.71901
274,-0.536043,-0.36191,-0.176908,-0.516647,-0.341037,-0.586694
275,-0.681084,-0.2615,-0.357787,-0.438945,-0.418002,-0.49484
276,-0.586401,-0.320497,-0.107601,-0.422488,-0.162065,-0.399605
277,-0.550529,-0.219612,-0.0364666,-0.543717,0.133125,-0.636503
278,-0.616994,-0.121657,-0.123887,-0.941908,0.107981,-0.911078
279,-0.612562,-0.119886,-0.15,-0.633155,0.0256372,-0.684065
280,-0.913123,-0.270127,-0.783102,-0.272239,-0.677851,-0.527289
281,-0.570814,-0.24562,-0.256383,-0.425385,-0.245928,-0.542951
282,-0.636985,-0.106877,-0.198837,-0.375389,-0.386092,-0.483711
283,-0.675559,-0.141022,-0.42591,-0.279831,-0.220886,-0.412449
284,-0.710172,-0.173436,-0.437356,-0.350135,-0.355102,-0.41698
285,-0.718025,-0.143085,-0.558947,-0.188673,-0.582923,-0.231698
286,-0.551989,-0.284094,-0.357536,-0.63088,-0.286168,-0.65355
287,-0.70232,-0.292442,-0.278251,-0.387203,-0.242779,-0.427928
288,-0.571983,-0.136855,-0.364323,-0.406512,-0.503299,-0.265178
289,-0.511675,-0.330157,-0.492198,-0.487378,-0.576768,-0.487148
290,-0.544602,-0.296727,-0.585828,-0.429148,-0.615938,-0.573734
291,-0.708548,-0.20829,-0.513841,-0.483605,-0.344762,-0.524892
292,-0.689171,-0.15325,-0.384331,-0.411731,-0.199527,-0.587254
293,-0.576667,-0.199678,-0.197846,-0.429488,0.0430837,-0.668769
294,-0.597072,-0.149548,-0.652854,-0.41017,-0.520341,-0.487963
295,-0.608663,-0.203341,-0.924304,-0.4932,-0.711297,-0.795772
296,-0.711733,-0.297322,-0.0183704,-0.247506,0.140943,-0.378609
297,-0.72289,-0.157358,0.167614,-0.754523,0.272846,-0.931531
298,-0.875158,-0.242831,-0.0782965,-0.570653,0.236028,-0.931404
299,-0.679258,-0.149586,-0.227814,-0.585127,-0.368892,-0.531909
300,-0.752575,-0.089595,-0.821504,-0.537487,-0.432568,-0.817409
301,-0.565221,-0.0677446,-0.755238,-0.69475,-0.572557,-0.766773
