,X0,X1,X2,X3
0,-5.28604,-5.39944,-1.81404,-4.40407
1,-5.51217,-5.38657,-1.71692,-4.51615
2,-5.42294,-5.58036,-1.80579,-4.48132
3,-5.45306,-5.57799,-1.74986,-4.4783
4,-5.18358,-5.43631,-1.74233,-4.51292
5,-5.41218,-5.52306,-1.79388,-4.59418
6,-5.63162,-5.39555,-1.72922,-4.41749
7,-5.55683,-5.41924,-1.6775,-4.37038
8,-5.61048,-5.33834,-1.80712,-4.47559
9,-5.6437,-5.3394,-1.7301,-4.51496
10,-5.22015,-5.44941,-1.77728,-4.4943
11,-5.38366,-5.52882,-1.6739,-4.55836
12,-5.43302,-5.50925,-1.6671,-4.54299
13,-5.44988,-5.44109,-1.79047,-4.41933
14,-5.25284,-5.47579,-1.76761,-4.49327
15,-5.67552,-5.48412,-1.74127,-4.44748
16,-5.53171,-5.4527,-1.78476,-4.45501
17,-5.22706,-5.4644,-1.66179,-4.53609
18,-5.17657,-5.50034,-1.78909,-4.50594
19,-5.31316,-5.53343,-1.6792,-4.41336
20,-5.19648,-5.5327,-1.78073,-4.48849
21,-5.30845,-5.48512,-1.74081,-4.49183
22,-5.33886,-5.47466,-1.7966,-4.50041
23,-5.38253,-5.41581,-1.71095,-4.62214
24,-5.57426,-5.54585,-1.73775,-4.32039
25,-5.53255,-5.42413,-1.62808,-4.61186
26,-5.49445,-5.46457,-1.83113,-4.32312
27,-5.34439,-5.35517,-1.88222,-4.63761
28,-5.72983,-5.60791,-1.67024,-4.34583
29,-5.5818,-5.44133,-1.76219,-4.42363
30,-5.42163,-5.5314,-1.67675,-4.5224
31,-5.49676,-5.54318,-1.66576,-4.55751
32,-5.22233,-5.48988,-1.71388,-4.56346
33,-5.19554,-5.51516,-1.70031,-4.54874
34,-5.40313,-5.53143,-1.71126,-4.43827
35,-5.16188,-5.39395,-1.83209,-4.52083
36,-5.14025,-5.37834,-1.82856,-4.47846
37,-5.03443,-5.4342,-1.76753,-4.56902
38,-5.15591,-5.56999,-1.73267,-4.45272
39,-5.28956,-5.46901,-1.79484,-4.45506
40,-5.28834,-5.55895,-1.67912,-4.52093
41,-5.2022,-5.41935,-1.80119,-4.56179
42,-5.33041,-5.5636,-1.84557,-4.45249
43,-5.1895,-5.52717,-1.81483,-4.49484
44,-5.5628,-5.45046,-1.68754,-4.5938
45,-5.48973,-5.4454,-1.74923,-4.53798
46,-5.71901,-5.43088,-1.71647,-4.4709
47,-5.15288,-5.59893,-1.80988,-4.5354
48,-5.55847,-5.34882,-1.66761,-4.39988
49,-5.60763,-5.3895,-1.65139,-4.53374
50,-4.74111,-5.50445,-1.85952,-4.48691
51,-5.61184,-5.50207,-1.68523,-4.50583
52,-5.5522,-5.50155,-1.67981,-4.55452
53,-5.72012,-5.49011,-1.67695,-4.475
54,-5.36833,-5.559,-1.81147,-4.38753
55,-5.24555,-5.48085,-1.73647,-4.59246
56,-5.2994,-5.48491,-1.79529,-4.39056
57,-4.95727,-5.54716,-1.72054,-4.56467
58,-5.15434,-5.57082,-1.7221,-4.54017
59,-5.13123,-5.59391,-1.67937,-4.53554
60,-5.28386,-5.47395,-1.66734,-4.5639
61,-5.39767,-5.45827,-1.87967,-4.46237
62,-5.4039,-5.36616,-1.87043,-4.4919
63,-5.4606,-5.41716,-1.80753,-4.51192
64,-5.34981,-5.50363,-1.68403,-4.46421
65,-5.52575,-5.46644,-1.81239,-4.44992
66,-5.56672,-5.51999,-1.66629,-4.49636
67,-5.14261,-5.39536,-1.79361,-4.51395
68,-5.36879,-5.5847,-1.71847,-4.49929
69,-5.41198,-5.41844,-1.79209,-4.40466
70,-5.32148,-5.602,-1.63095,-4.55055
71,-5.37025,-5.42485,-1.80294,-4.5446
72,-5.45992,-5.55379,-1.7303,-4.49642
73,-5.40248,-5.53472,-1.76297,-4.50871
74,-5.51289,-5.5315,-1.78787,-4.50016
75,-5.40328,-5.50191,-1.81385,-4.54453
76,-5.21771,-5.46864,-1.75694,-4.45225
77,-5.24344,-5.49986,-1.69644,-4.4401
78,-5.15287,-5.4989,-1.72155,-4.4889
79,-5.53657,-5.44417,-1.7901,-4.47123
80,-5.52108,-5.38594,-1.7571,-4.46219
81,-5.17253,-5.49082,-1.77776,-4.45574
82,-5.38233,-5.37128,-1.75231,-4.48656
83,-4.84653,-5.55736,-1.74694,-4.50774
84,-5.23388,-5.60753,-1.74712,-4.45265
85,-5.29688,-5.45596,-1.80288,-4.49023
86,-5.28258,-5.45373,-1.80107,-4.53557
87,-5.49229,-5.38813,-1.63458,-4.57297
88,-5.51061,-5.49689,-1.67002,-4.42249
89,-5.38373,-5.34451,-1.73577,-4.50019
90,-5.24439,-5.57863,-1.73016,-4.52469
91,-5.44762,-5.57951,-1.6475,-4.45314
92,-5.49289,-5.57012,-1.64663,-4.42885
93,-5.60428,-5.33401,-1.70273,-4.43207
94,-5.49681,-5.39879,-1.70818,-4.58066
95,-5.35446,-5.45836,-1.82806,-4.53182
96,-5.50648,-5.46045,-1.68827,-4.39512
97,-5.50173,-5.49056,-1.73595,-4.51619
98,-5.34141,-5.48502,-1.76428,-4.42508
99,-5.32534,-5.47965,-1.75953,-4.42392
100,-5.20875,-5.4348,-1.73333,-4.57847
