"","V1"
"1",1
"2",1
"3",2
"4",2
"5",2
"6",2
"7",3
"8",3
"9",4
"10",4
"11",1
"12",1
"13",2
"14",2
"15",2
"16",2
"17",3
"18",3
"19",4
"20",4
"21",5
"22",5
"23",5
"24",5
"25",2
"26",2
"27",3
"28",3
"29",4
"30",4
"31",5
"32",5
"33",5
"34",5
"35",2
"36",2
"37",3
"38",3
"39",3
"40",3
"41",5
"42",5
"43",5
"44",5
"45",6
"46",6
"47",6
"48",3
"49",3
"50",3
"51",5
"52",5
"53",5
"54",5
"55",6
"56",6
"57",6
"58",3
"59",3
"60",3
"61",5
"62",5
"63",5
"64",5
"65",3
"66",3
"67",3
"68",3
"69",3
"70",3
"71",5
"72",5
"73",5
"74",5
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",5
"82",5
"83",5
"84",5
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",5
"92",5
"93",5
"94",5
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
