"","V1"
"1",1
"2",2
"3",1
"4",2
"5",2
"6",1
"7",2
"8",1
"9",1
"10",2
"11",2
"12",3
"13",2
"14",1
"15",3
"16",2
"17",1
"18",1
"19",4
"20",1
"21",3
"22",2
"23",2
"24",1
"25",2
"26",5
"27",1
"28",3
"29",2
"30",2
"31",2
"32",1
"33",1
"34",1
"35",2
"36",2
"37",2
"38",2
"39",2
"40",4
"41",2
"42",2
"43",3
"44",2
"45",3
"46",2
"47",1
"48",2
"49",1
"50",1
"51",4
"52",2
"53",2
"54",3
"55",3
"56",3
"57",3
"58",1
"59",3
"60",6
"61",1
"62",3
"63",1
"64",2
"65",1
"66",1
"67",1
"68",1
"69",1
"70",2
"71",1
"72",2
"73",1
"74",7
"75",3
"76",1
"77",1
"78",1
"79",3
"80",2
"81",1
"82",3
"83",4
"84",1
"85",1
"86",2
"87",1
"88",1
"89",1
"90",1
"91",2
"92",2
"93",1
"94",1
"95",3
"96",2
"97",2
"98",3
"99",1
"100",1
"101",2
"102",2
"103",1
"104",2
"105",1
"106",2
